leaf
0.0020000000/0.3795308829,-0.3311668162,0.6593065929,0.3590614458,-0.3658999023,0.6356840500,0.2836006201,-0.3871192214,0.6143334974
0.0020000000/0.2727663594,-0.2776014308,0.6781687935,0.2107141719,-0.3025179231,0.6324851866,0.1165000807,-0.3382914808,0.6199211658
0.0020000000/0.3510558736,-0.2686612210,0.6343245521,0.2945276385,-0.3056357457,0.6019663801,0.2369204558,-0.3255626923,0.5867021408
0.0020000000/0.4145449660,-0.3207475913,0.6369785475,0.3824824452,-0.3435196443,0.6117070032,0.3280447816,-0.3605598496,0.6219365849
0.0020000000/0.3121735224,-0.2839515323,0.6595877407,0.2360589665,-0.3266073753,0.6136617252,0.1901949623,-0.3399960587,0.5973791021
0.0020000000/0.4670130772,-0.3108634268,0.6104651155,0.4072997348,-0.3484110838,0.5705400887,0.3277531396,-0.3885373149,0.5648020584
0.0020000000/0.4137902317,-0.3243150404,0.6404797236,0.3592247506,-0.3517586930,0.6033414768,0.3034965583,-0.3961100878,0.6148574172
0.0020000000/0.3876413069,-0.3514868186,0.6754870464,0.3493860454,-0.3934874365,0.6568115713,0.2939404844,-0.4067443871,0.6001894262
0.0020000000/0.2745116369,-0.2966942840,0.6848329687,0.2339656097,-0.3150257112,0.6418274105,0.1680274162,-0.3102029562,0.6429076685
0.0020000000/0.2821270703,-0.3234322568,0.6976063223,0.2288245761,-0.3750460929,0.6526027439,0.1340265343,-0.3828506400,0.6247643909
0.0020000000/0.3195122546,-0.3367978870,0.6903291352,0.2598656994,-0.3851489491,0.6328826507,0.1417670408,-0.4324867898,0.6407041706
0.0020000000/0.2826851366,-0.2953868055,0.6797377738,0.2331248988,-0.3123955427,0.6417925941,0.1769050691,-0.3533390815,0.6154466769
0.0020000000/0.2635790319,-0.3281491486,0.7102647585,0.2467271663,-0.3391557219,0.7006450891,0.1978089369,-0.3700095691,0.6655924673
0.0020000000/0.3939399332,-0.3570664980,0.6814846154,0.3685133853,-0.3883277412,0.6621733711,0.3056947219,-0.3826575337,0.6526077013
0.0020000000/0.3229683630,-0.3402671651,0.6920978619,0.2771117167,-0.3733060284,0.6680121158,0.2080654276,-0.4104643815,0.6512526347
0.0020000000/0.2235515037,-0.2649156562,0.7010807621,0.1566475739,-0.2760024051,0.6621203532,0.0989135666,-0.3270872780,0.6330160601
0.0020000000/0.3934389247,-0.3025682831,0.6327098199,0.3581076410,-0.3374701148,0.6112126227,0.2968186937,-0.3190094629,0.6043001320
0.0020000000/0.2573409275,-0.2862212390,0.6900528212,0.2211229292,-0.2913177918,0.6632863732,0.1966724063,-0.3392558800,0.6227820128
0.0020000000/0.4070453968,-0.3339208649,0.6516286105,0.3674316371,-0.3628281954,0.6215095439,0.3277580103,-0.3801076913,0.6073096252
0.0020000000/0.2299750370,-0.2757457359,0.7012913930,0.1511461071,-0.3190111398,0.6681509507,0.0908299218,-0.3229477874,0.6535947153
0.0020000000/0.3691472139,-0.3096810419,0.6469944448,0.3471784236,-0.3251554336,0.6134639151,0.2648740432,-0.3468156930,0.6137682495
0.0020000000/0.2604359872,-0.2818356401,0.6866471358,0.2211594954,-0.2861018515,0.6835552131,0.1750857953,-0.3361912649,0.6475383762
0.0020000000/0.3909508441,-0.2579415577,0.6122199150,0.3488722827,-0.2892193887,0.5837213547,0.3048535385,-0.3084247115,0.5560604295
0.0020000000/0.3333123657,-0.3235338587,0.6721403696,0.2804124647,-0.3779841721,0.6287253696,0.2111657663,-0.4227879321,0.6458959153
0.0020000000/0.3743867075,-0.3323863358,0.6626561621,0.3486262677,-0.3659586045,0.6536622903,0.3143315837,-0.3911083373,0.6111061545
0.0020000000/0.3757866672,-0.3326245599,0.6622788984,0.3341371276,-0.3650913279,0.6505573416,0.3053808710,-0.3839134497,0.6056757477
0.0020000000/0.2970529627,-0.2911496964,0.6698863140,0.2543744680,-0.3197601036,0.6487004023,0.2050685984,-0.3049845700,0.6517126062
0.0020000000/0.2367340673,-0.2682449920,0.6945887295,0.1858484670,-0.2983705903,0.6430648509,0.1086210970,-0.3281462898,0.6301438982
0.0020000000/0.3419910521,-0.3290726697,0.6734470377,0.3074378641,-0.3669662375,0.6536109239,0.2754934563,-0.3858187077,0.6355859112
